Word,Definition
abase,"to humiliate, degrade"
abate,"to reduce, lessen"
abdicate,"to give up a position, usually one of leadership"
abduct,"to kidnap, take by force"
aberration,something that differs from the norm
abet,"to aid, help, encourage"
abhor,"to hate, detest"
abide,1. to put up with 2. to remain
abject,"wretched, pitiful"
abjure,"to reject, renounce"
abnegation,denial of comfort to oneself
abort,to give up on a half-ﬁnished project or effort
abridge,"1. to cut down, shorten 2. shortened"
abrogate,"to abolish, usually by authority"
abscond,to sneak away and hide
absolution,"freedom from blame, guilt, sin"
abstain,to freely choose not to commit an action
abstruse,hard to comprehend
accede,to agree
accentuate,"to stress, highlight"
accessible,"obtainable, reachable"
acclaim,high praise
accolade,"high praise, special distinction"
accommodating,"helpful, obliging, polite"
accord,an agreement
accost,to confront verbally
accretion,slow growth in size or amount
acerbic,"biting, bitter in tone or taste"
acquiesce,to agree without protesting
acrimony,"bitterness, discord"
acumen,keen insight
acute,"1. sharp, severe 2. having keen insight"
adamant,"impervious, immovable, unyielding"
adept,extremely skilled
adhere,1. to stick to something 2. to follow devoutly
admonish,"to caution, criticize, reprove"
adorn,to decorate
adroit,"skillful, dexterous"
adulation,extreme praise
adumbrate,to sketch out in a vague way
adverse,"antagonistic, unfavorable, dangerous"
advocate,1. to argue in favor of something 2. a person  who argues in favor of something
aerial,somehow related to the air
aesthetic,"artistic, related to the appreciation of beauty"
affable,"friendly, amiable"
afﬁnity,a spontaneous feeling of closeness
afﬂuent,"rich, wealthy"
affront,an insult
aggrandize,to increase or make greater
aggregate,1. a whole or total 2. to gather into a  mass
aggrieved,"distressed, wronged, injured"
agile,"quick, nimble"
agnostic,believing that the existence of God cannot be proven or disproven
agriculture,farming
aisle,a passageway between rows of seats
alacrity,"eagerness, speed"
alias,a false name or identity
allay,"to soothe, ease"
allege,"to assert, usually without proof"
alleviate,"to relieve, make more bearable"
allocate,"to distribute, set aside"
aloof,"reserved, distant"
altercation,"a dispute, ﬁght"
amalgamate,"to bring together, unite"
ambiguous,"uncertain, variably interpretable"
ambivalent,having opposing feelings
ameliorate,to improve
amenable,"willing, compliant"
amenity,an item that increases comfort
amiable,friendly
amicable,friendly
amorous,"showing love, particularly sexual"
amorphous,without deﬁnite shape or type
anachronistic,being out of correct chronological order
analgesic,something that reduces pain
analogous,"similar to, so that an analogy can be drawn"
anarchist,one who wants to eliminate all government
anathema,"a cursed, detested person"
anecdote,"a short, humorous account"
anesthesia,loss of sensation
anguish,"extreme sadness, torment"
animated,lively
annex,1. to incorporate territory or space 2. a room attached to a larger room or space
annul,to make void or invalid
anomaly,something that does not ﬁt into the normal order
anonymous,"being unknown, unrecognized"
antagonism,hostility
antecedent,something that came before
antediluvian,ancient
anthology,"a selected collection of writings, songs, etc."
antipathy,"a strong dislike, repugnance"
antiquated,"old, out of date"
antiseptic,"clean, sterile"
antithesis,the absolute opposite
anxiety,intense uneasiness
apathetic,"lacking concern, emotion"
apocryphal,"ﬁctitious, false, wrong"
appalling,"inspiring shock, horror, disgust"
appease,"to calm, satisfy"
appraise,to assess the worth or value of
apprehend,"1. to seize, arrest 2. to  perceive, understand, grasp"
approbation,praise
appropriate,"to take, make use of"
aquatic,relating to water
arable,suitable for growing crops
arbiter,"one who can resolve a dispute, make a decision"
arbitrary,based on factors that appear random
arbitration,the process or act of resolving a dispute
arboreal,of or relating to trees
arcane,"obscure, secret, known only by a few"
archaic,"of or relating to an earlier period in time, outdated"
archetypal,the most representative or typical example of something
ardor,"extreme vigor, energy, enthusiasm"
arid,excessively dry
arrogate,to take without justiﬁcation
artifact,a remaining piece from an extinct culture or place
artisan,a craftsman
ascertain,"to perceive, learn"
ascetic,"practicing restraint as a means of self-discipline, usually religious"
ascribe,"to assign, credit, attribute to"
aspersion,"a curse, expression of ill-will"
aspire,"to long for, aim toward"
assail,to attack
assess,to evaluate
assiduous,"hard-working, diligent"
assuage,"to ease, pacify"
astute,"very clever, crafty"
asylum,"1. a place of refuge, protection, a sanctuary 2. an institution in which the  insane are kept"
atone,"to repent, make amends"
atrophy,"to wither away, decay"
attain,"to achieve, arrive at"
attribute,"1. to credit, assign 2. a facet or trait"
atypical,"not typical, unusual"
audacious,excessively bold
audible,able to be heard
augment,"to add to, expand"
auspicious,"favorable, indicative of good things"
austere,"very bare, bleak"
avarice,excessive greed
avenge,to seek revenge
aversion,a particular dislike for something
balk,"to stop, block abruptly"
ballad,a love song
banal,"dull, commonplace"
bane,a burden
bard,"a poet, often a singer as well"
bashful,"shy, excessively timid"
battery,"1. a device that supplies power 2. assault, beating"
beguile,"to trick, deceive"
behemoth,something of tremendous power or size
benevolent,marked by goodness or doing good
benign,"favorable, not threatening, mild"
bequeath,"to pass on, give"
berate,to scold vehemently
bereft,"devoid of, without"
beseech,"to beg, plead, implore"
bias,"a tendency, inclination, prejudice"
bilk,"cheat, defraud"
blandish,to coax by using ﬂattery
blemish,"an imperfection, ﬂaw"
blight,"1. a plague, disease 2. something that destroys hope"
boisterous,loud and full of energy
bombastic,"excessively conﬁdent, pompous"
boon,a gift or blessing
bourgeois,"a middle-class person, capitalist"
brazen,"excessively bold, brash"
brusque,"short, abrupt, dismissive"
buffet,1. to strike with force 2. an arrangement of food set out on a table
burnish,"to polish, shine"
buttress,"1. to support, hold up 2. something that offers support"
cacophony,"tremendous noise, disharmonious sound"
cadence,"a rhythm, progression of sound"
cajole,"to urge, coax"
calamity,an event with disastrous consequences
calibrate,"to set, standardize"
callous,"harsh, cold, unfeeling"
calumny,an attempt to spoil someone else’s reputation by spreading lies
camaraderie,"brotherhood, jovial unity"
candor,"honesty, frankness"
canny,"shrewd, careful"
canvas,"1. a piece of cloth on which an artist paints 2. to cover, inspect"
capacious,very spacious
capitulate,to surrender
capricious,"subject to whim, ﬁckle"
captivate,"to get the attention of, hold"
carouse,"to party, celebrate"
carp,"to annoy, pester"
catalog,"1. to list, enter into a list 2. a list or collection"
catalyze,"to charge, inspire"
caucus,a meeting usually held by people working toward the same goal
caustic,"bitter, biting, acidic"
cavort,"to leap about, behave boisterously"
censure,1. harsh criticism 2. to rebuke formally
cerebral,related to the intellect
chaos,absolute disorder
chastise,to criticize severely
cherish,to feel or show affection toward something
chide,to voice disapproval
choreography,the arrangement of dances
chronicle,1. a written history 2. to write a history
chronological,arranged in order of time
circuitous,roundabout
circumlocution,indirect and wordy language
circumscribed,"marked off, bounded"
circumspect,cautious
circumvent,to get around
clairvoyant,able to perceive things that normal people cannot
clamor,1. loud noise 2. to loudly insist
clandestine,secret
cleave,1. to divide into parts 2. to stick together ﬁrmly
clemency,mercy
clergy,members of Christian holy orders
cloying,sickeningly sweet
coagulate,"to thicken, clot"
coalesce,to fuse into a whole
cobbler,a person who makes or repairs shoes
coerce,to make somebody do something by force or threat
cogent,intellectually convincing
cognizant,"aware, mindful"
coherent,"logically consistent, intelligible"
collateral,1. secondary 2. security for a debt
the,500 loan.) colloquial #  characteristic of informal conversation
colloquial,characteristic of informal conversation
collusion,"secret agreement, conspiracy"
colossus,a gigantic statue or thing
combustion,the act or process of burning
commendation,a notice of approval or recognition
commensurate,corresponding in size or amount
commodious,roomy
compelling,"forceful, demanding attention"
compensate,to make an appropriate payment for something
complacency,self-satisﬁed ignorance of danger
complement,"to complete, make perfect"
compliant,ready to adapt oneself to another’s wishes
complicit,being an accomplice in a wrongful act
compliment,an expression of esteem or approval
compound,1. to combine parts 2. a  combination of different parts 3. a  walled area containing a group of buildings
comprehensive,including everything
compress,"to apply pressure, squeeze together"
compunction,distress caused by feeling guilty
concede,to accept as valid
conciliatory,"friendly, agreeable"
concise,brief and direct in expression
concoct,"to fabricate, make up"
concomitant,accompanying in a subordinate fashion
concord,harmonious agreement
condolence,an expression of sympathy in sorrow
